t,RR
0,676
0.676,676
1.352,1132
2.484,1104
3.588,1124
4.712,1124
5.836,1136
6.972,1144
8.116,1120
9.236,1108
10.344,1092
11.436,1092
12.528,1112
13.64,1104
14.744,1092
15.836,1104
16.94,1084
18.024,1120
19.144,1076
20.22,1084
21.304,1024
22.328,1020
23.348,1116
24.464,1100
25.564,1120
26.684,1108
27.792,1108
28.9,1092
29.992,1092
31.084,1056
32.14,1100
33.24,1056
34.296,1060
35.356,1060
36.416,1084
37.5,1088
38.588,1100
39.688,1092
40.78,1128
41.908,1120
43.028,1124
44.152,1116
45.268,1068
46.336,1100
47.436,1092
48.528,1088
49.616,1088
50.704,1092
51.796,1128
52.924,1088
54.012,1116
55.128,1064
56.192,1100
57.292,1092
58.384,1104
59.488,1112
60.6,1100
61.7,1088
62.788,1096
63.884,1092
64.976,1096
66.072,1092
67.164,1076
68.24,1124
69.364,1116
70.48,1092
71.572,1096
72.668,1092
73.76,1092
74.852,1108
75.96,1100
77.06,1076
78.136,1072
79.208,1064
80.272,1084
81.356,1036
82.392,1040
83.432,1064
84.496,1048
85.544,1084
86.628,1060
87.688,1080
88.768,1052
89.82,1088
90.908,1096
92.004,1120
93.124,1112
94.236,1092
95.328,1112
96.44,1100
97.54,1084
98.624,1052
99.676,1052
100.728,1048
101.776,1060
102.836,1024
103.86,1092
104.952,1096
106.048,1124
107.172,1100
108.272,1128
109.4,1148
110.548,1136
111.684,1140
112.824,1136
113.96,1164
115.124,1156
116.28,1156
117.436,1112
118.548,1116
119.664,1144
120.808,1140
121.948,1128
123.076,1100
124.176,1100
125.276,1056
126.332,1088
127.42,1112
128.532,1104
129.636,1080
130.716,1100
131.816,1104
132.92,1108
134.028,1096
135.124,1080
136.204,1092
137.296,1092
138.388,1052
139.44,1072
140.512,1124
141.636,1092
142.728,1092
143.82,1052
144.872,1056
145.928,1012
146.94,984
147.924,964
148.888,944
149.832,968
150.8,992
151.792,1008
152.8,1016
153.816,1004
154.82,1000
155.82,984
156.804,996
157.8,984
158.784,976
159.76,952
160.712,932
161.644,952
162.596,948
163.544,956
164.5,1008
165.508,1036
166.544,1044
167.588,988
168.576,984
169.56,976
170.536,960
171.496,948
172.444,924
173.368,956
174.324,952
175.276,976
176.252,1004
177.256,1024
178.28,1024
179.304,1044
180.348,1032
181.38,312
181.692,700
182.392,960
183.352,960
184.312,940
185.252,932
186.184,960
187.144,968
188.112,988
189.1,972
190.072,948
191.02,968
191.988,956
192.944,936
193.88,920
194.8,916
195.716,944
196.66,792
197.452,640
198.092,1144
199.236,1068
200.304,1036
201.34,1088
202.428,1100
203.528,1036
204.564,988
205.552,1036
206.588,1068
207.656,1076
208.732,1084
209.816,1096
210.912,1076
211.988,1096
213.084,1092
214.176,1092
215.268,1076
216.344,1088
217.432,1088
218.52,1088
219.608,1136
220.744,1136
221.88,1104
222.984,1096
224.08,1048
225.128,1008
226.136,988
227.124,976
228.1,980
229.08,960
230.04,972
231.012,1020
232.032,1012
233.044,972
234.016,960
234.976,936
235.912,948
236.86,940
237.8,952
238.752,932
239.684,944
240.628,768
241.396,1128
242.524,1092
243.616,1076
244.692,1096
245.788,1076
246.864,1084
247.948,1064
249.012,1072
250.084,1084
251.168,1044
252.212,1024
253.236,996
254.232,992
255.224,1040
256.264,1040
257.304,1072
258.376,1048
259.424,1104
260.528,1080
261.608,1076
262.684,1064
263.748,1048
264.796,1084
265.88,1092
266.972,1116
268.088,1100
269.188,1080
270.268,1104
271.372,1080
272.452,1096
273.548,1088
274.636,1108
275.744,1108
276.852,1132
277.984,1140
279.124,1108
280.232,1120
281.352,1100
282.452,1112
283.564,1084
284.648,1092
285.74,1100
286.84,1124
287.964,1100
289.064,1108
290.172,1116
291.288,1128
292.416,1084
293.5,1108
294.608,1092
295.7,1120
296.82,1096
297.916,1100
299.016,1072
300.088,1096
301.184,1140
302.324,1088
303.412,1100
304.512,1120
305.632,1136
306.768,1124
307.892,1120
309.012,1132
310.144,1164
311.308,1132
312.44,1136
313.576,1132
314.708,1128
315.836,1136
316.972,1100
318.072,1124
319.196,1144
320.34,1144
321.484,1148
322.632,1112
323.744,1116
324.86,1136
325.996,1120
327.116,1112
328.228,1132
329.36,1116
330.476,1108
331.584,1132
332.716,1132
333.848,1128
334.976,1096
336.072,1124
337.196,1064
338.26,1096
339.356,1096
340.452,1100
341.552,1116
342.668,1120
343.788,1140
344.928,1120
346.048,1144
347.192,1112
348.304,1152
349.456,1128
350.584,1128
351.712,1116
352.828,1140
353.968,1100
355.068,1108
356.176,1092
357.268,1084
358.352,1096
359.448,1096
360.544,1092
361.636,1128
362.764,1120
363.884,1084
364.968,1120
366.088,1120
367.208,1104
368.312,1084
369.396,1076
370.472,1076
371.548,1068
372.616,1084
373.7,1052
374.752,1068
375.82,1100
376.92,1084
378.004,1032
379.036,1072
380.108,1056
381.164,1116
382.28,1088
383.368,1072
384.44,1036
385.476,1024
386.5,1048
387.548,1084
388.632,1128
389.76,1120
390.88,1144
392.024,1144
393.168,1152
394.32,1124
395.444,1104
396.548,1108
397.656,1104
398.76,1084
399.844,1084
400.928,1116
402.044,1084
403.128,1076
404.204,1060
405.264,1060
406.324,1072
407.396,1060
408.456,1120
409.576,1120
410.696,1100
411.796,1104
412.9,1112
414.012,1076
415.088,1096
416.184,1076
417.26,1088
418.348,1080
419.428,1048
420.476,1084
421.56,1088
422.648,1080
423.728,1084
424.812,1068
425.88,1048
426.928,1048
427.976,1060
429.036,1064
430.1,1072
431.172,1052
432.224,1076
433.3,1060
434.36,1060
435.42,1048
436.468,1076
437.544,1080
438.624,1116
439.74,1104
440.844,1084
441.928,1068
442.996,1096
444.092,1104
445.196,1048
446.244,1076
447.32,1056
448.376,1064
449.44,1048
450.488,1036
451.524,1036
452.56,1048
453.608,1080
454.688,1052
455.74,1068
456.808,1048
457.856,1048
458.904,1060
459.964,1044
461.008,1084
462.092,1092
463.184,1116
464.3,1132
465.432,1132
466.564,1132
467.696,1152
468.848,1108
469.956,1152
471.108,1132
472.24,1148
473.388,1152
474.54,1140
475.68,1152
476.832,1116
477.948,1072
479.02,1204
480.224,1160
481.384,1132
482.516,1140
483.656,1056
484.712,1044
485.756,1068
486.824,1048
487.872,1072
488.944,1056
490,1052
491.052,1036
492.088,1052
493.14,1044
494.184,1052
495.236,1096
496.332,1140
497.472,1124
498.596,1152
499.748,1168
500.916,1148
502.064,1140
503.204,1148
504.352,1120
505.472,1116
506.588,1116
507.704,1160
508.864,1156
510.02,1152
511.172,1132
512.304,1120
513.424,1100
514.524,1108
515.632,1100
516.732,1072
517.804,1092
518.896,1072
519.968,1052
521.02,1048
522.068,1016
523.084,1016
524.1,1020
525.12,1004
526.124,1004
527.128,1036
528.164,1056
529.22,1072
530.292,1080
531.372,1112
532.484,1132
533.616,1084
534.7,1112
535.812,1084
536.896,1072
537.968,1088
539.056,1100
540.156,1068
541.224,1036
542.26,1048
543.308,1028
544.336,1048
545.384,1056
546.44,1056
547.496,1012
548.508,1004
549.512,1024
550.536,1004
551.54,1008
552.548,992
553.54,1012
554.552,1040
555.592,1056
556.648,1080
557.728,1092
558.82,1096
559.916,1076
560.992,1100
562.092,1112
563.204,1136
564.34,1096
565.436,1116
566.552,1088
567.64,1116
568.756,1096
569.852,1112
570.964,1104
572.068,1072
573.14,1084
574.224,1080
575.304,1112
576.416,1108
577.524,1088
578.612,1092
579.704,1052
580.756,1068
581.824,1064
582.888,1104
583.992,1072
585.064,1088
586.152,1076
587.228,1088
588.316,1068
589.384,1044
590.428,1032
591.46,1024
592.484,1040
593.524,1040
594.564,1044
595.608,1048
596.656,1076
597.732,1088
598.82,1068
